id,loan_amount,grade,purpose,home_ownership,income,dti,fico,loan_status
715142,20000.0,6,debt_consolidation,1,70000.0,34.3,775.0,1
881428,28000.0,5,debt_consolidation,1,175000.0,9.95,705.0,0
864480,13500.0,7,credit_card,1,90000.0,19.15,715.0,1
221852,20000.0,5,debt_consolidation,0,120000.0,18.95,680.0,1
19563,11975.0,5,debt_consolidation,1,57000.0,19.35,700.0,1
619220,12000.0,5,credit_card,1,62000.0,16.74,685.0,1
442117,16000.0,6,credit_card,1,95000.0,24.26,700.0,1
673254,12000.0,6,debt_consolidation,1,120000.0,3.78,700.0,1
893078,14000.0,5,debt_consolidation,0,97000.0,19.95,670.0,1
273071,16000.0,6,other,0,84000.0,17.8,735.0,1
169992,9000.0,7,debt_consolidation,1,57000.0,13.85,700.0,1
934641,15000.0,6,debt_consolidation,1,45000.0,9.68,665.0,0
111199,7900.0,4,debt_consolidation,0,22000.0,19.48,685.0,1
919962,20000.0,7,debt_consolidation,1,200000.0,24.59,700.0,1
1584346,22500.0,5,debt_consolidation,1,130000.0,20.84,695.0,1
964839,7000.0,6,debt_consolidation,0,35000.0,33.05,685.0,1
1503849,5000.0,4,home_improvement,1,75000.0,21.06,685.0,1
195091,3825.0,3,other,0,24000.0,33.2,660.0,1
42291,8000.0,6,debt_consolidation,1,55000.0,29.41,675.0,1
281724,12225.0,4,debt_consolidation,1,94000.0,10.62,670.0,1
557082,15000.0,7,credit_card,1,90000.0,19.77,665.0,1
1540280,5950.0,2,debt_consolidation,0,46000.0,24.97,665.0,0
256327,7000.0,7,credit_card,0,115200.0,22.19,740.0,1
1374725,24000.0,5,debt_consolidation,1,88000.0,14.63,700.0,0
890649,18000.0,5,credit_card,1,52000.0,24.28,665.0,1
675060,15000.0,4,debt_consolidation,1,85000.0,38.08,660.0,0
1182729,26875.0,4,debt_consolidation,1,64000.0,34.2,660.0,0
547513,13375.0,3,debt_consolidation,0,60000.0,15.42,670.0,0
164590,7000.0,7,credit_card,1,55000.0,11.5,770.0,1
490786,20000.0,6,debt_consolidation,0,82000.0,15.81,675.0,1
1601797,35000.0,3,debt_consolidation,0,119000.0,18.13,680.0,0
1419069,35000.0,5,debt_consolidation,1,119000.0,18.41,670.0,1
140336,9000.0,3,debt_consolidation,0,30000.0,16.2,665.0,1
175793,13500.0,5,debt_consolidation,0,75000.0,14.97,670.0,1
536476,10000.0,5,credit_card,0,45000.0,18.91,680.0,0
203763,11000.0,5,debt_consolidation,1,40000.0,31.23,675.0,1
1362616,17000.0,7,credit_card,1,96000.0,14.11,695.0,1
1552082,32000.0,5,vacation,1,88000.0,24.87,745.0,0
22096,10800.0,5,debt_consolidation,0,47000.0,36.37,660.0,1
380122,10000.0,6,home_improvement,1,58000.0,21.77,695.0,0
971079,14000.0,7,debt_consolidation,1,85000.0,14.85,750.0,1
536522,6000.0,4,debt_consolidation,0,50000.0,14.09,670.0,1
