,company_id,category_code,country_code,state_code,average_funded,total_rounds,average_participants,products_number,offices,acquired_companies,mba_degree,phd_degree,ms_degree,other_degree,ipo,is_acquired,is_closed,age,Success,number_degrees
12992,c:239896,games_video,USA,other,5000000.0,2,2.5,,1.0,,,,,,False,True,False,344.0,1,
12993,c:239906,,other,other,750000.0,1,4.0,,,,2.0,,,5.0,False,True,False,,1,
12994,c:239909,design,USA,California,2000000.0,1,0.0,,1.0,,,,,,False,False,False,13880.0,0,
12995,c:23991,mobile,other,other,31520.0,1,0.0,,2.0,,,,,1.0,False,False,False,1857.0,0,
12996,c:239910,software,USA,other,30000000.0,1,2.0,,1.0,,,,,1.0,False,False,False,4383.0,0,
12997,c:239913,web,other,other,400000.0,1,0.0,,1.0,,,,,3.0,False,False,False,1096.0,0,
12998,c:239929,biotech,USA,other,7600000.0,1,0.0,,1.0,,,,,,False,False,False,731.0,0,
12999,c:239932,games_video,other,other,9300000.0,1,0.0,,,,,,,,False,False,False,,0,
13000,c:239960,hardware,USA,California,1700000.0,2,0.0,,1.0,,,,,,False,False,False,1203.0,0,
13001,c:239961,social,USA,other,25000.0,1,0.0,,1.0,,,,,,False,False,False,1461.0,0,
13002,c:239962,medical,USA,other,710000.0,1,0.0,,1.0,,,,,,False,False,False,1461.0,0,
13003,c:239963,web,USA,California,220000.0,1,0.0,,1.0,,1.0,,,4.0,False,False,False,365.0,0,
13004,c:239966,software,USA,other,40000.0,1,0.0,,1.0,,,,,2.0,False,False,False,2922.0,0,
13005,c:23997,finance,other,other,269725.0,2,3.0,,1.0,,1.0,,,1.0,False,False,False,1830.0,0,
13006,c:239972,biotech,USA,other,14942729.0,1,0.0,,1.0,,,,,1.0,False,False,False,,0,
13007,c:239976,ecommerce,USA,other,20000.0,1,1.0,,1.0,,,,,1.0,False,False,False,,0,
13008,c:239979,,other,other,350000.0,1,1.0,,1.0,,,,,,False,False,False,1461.0,0,
13009,c:239986,games_video,other,other,,1,6.0,,,,,,,,False,False,False,1826.0,0,
13010,c:239990,,USA,other,600000.0,1,1.0,,1.0,,,,,,False,False,False,1461.0,0,
13011,c:239994,social,other,other,400000.0,1,1.0,,,,,,,1.0,False,False,False,731.0,0,
13012,c:2400,network_hosting,other,other,50000.0,1,1.0,,1.0,,,,,1.0,False,False,False,2284.0,0,
13013,c:24000,messaging,other,other,1172380.0,2,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,False,False,False,1827.0,0,8.0
13014,c:24002,games_video,USA,other,3800000.0,3,0.6667,,1.0,,,,,4.0,False,False,True,2271.0,0,
13015,c:240024,software,USA,other,1829461.5,2,0.0,,1.0,,,,,,False,False,False,1826.0,0,
13016,c:240028,software,other,other,1500000.0,1,3.0,,1.0,,,,,2.0,False,False,False,3287.0,0,
13017,c:240031,software,USA,other,450000.0,1,0.0,,1.0,,,,,,False,False,False,1461.0,0,
13018,c:24004,advertising,USA,other,3000000.0,3,0.6667,,1.0,,,,1.0,1.0,False,False,False,1651.0,0,
13019,c:240043,software,USA,other,1115000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0,0,
13020,c:240047,software,USA,other,375000.0,1,0.0,,1.0,,,,,,False,False,False,731.0,0,
13021,c:240048,,other,other,500000.0,1,1.0,,1.0,,,,,,False,False,False,,0,
13022,c:240050,software,other,other,10000.0,1,0.0,,1.0,,,,,,False,False,False,,0,
13023,c:240053,design,other,other,170000.0,1,1.0,,1.0,,,,,,False,False,False,,0,
13024,c:240062,biotech,USA,other,375062.25,4,0.0,,1.0,,2.0,1.0,,3.0,False,False,False,2192.0,0,
13025,c:240087,software,other,other,787000.0,2,0.0,,,,,,,,False,False,False,1096.0,0,
13026,c:240097,hardware,other,other,275000.0,2,0.5,1.0,1.0,,,,,,False,False,False,,0,
13027,c:240100,biotech,other,other,2000000.0,1,1.0,,1.0,,,,,,False,False,False,,0,
13028,c:240103,biotech,other,other,2500000.0,1,1.0,,1.0,,1.0,1.0,,1.0,False,False,False,,0,
13029,c:240130,education,USA,other,500000.0,1,0.0,,1.0,,,,,,False,False,False,,0,
13030,c:240140,mobile,other,other,,1,1.0,,1.0,,1.0,,,4.0,False,False,True,1096.0,0,
13031,c:240145,education,other,other,,1,1.0,,,,,,,1.0,False,False,False,,0,
13032,c:240146,legal,USA,other,118000.0,1,1.0,1.0,1.0,,,,,,False,False,False,,0,
13033,c:240148,social,other,other,118000.0,1,0.0,,,,,,,,False,False,False,365.0,0,
13034,c:240150,web,other,other,850000.0,2,6.0,,1.0,,,,,,False,False,False,1096.0,0,
13035,c:240153,messaging,other,other,,1,1.0,,,,,,,,False,False,False,,0,
13036,c:240155,education,other,other,,1,1.0,,,,,,,1.0,False,False,False,,0,
13037,c:240159,software,other,other,30000.0,1,0.0,,1.0,,,1.0,,2.0,False,False,False,184.0,0,
13038,c:240160,mobile,USA,California,118000.0,1,1.0,,1.0,,,,1.0,1.0,False,False,False,,0,
13039,c:240166,analytics,other,other,50000.0,1,1.0,,,,,,,,False,False,False,365.0,0,
13040,c:240182,software,USA,other,7600000.0,1,3.0,,1.0,,,,,,False,False,False,203.0,0,
13041,c:240185,photo_video,other,other,175000.0,3,0.6667,,1.0,,,,,,False,False,False,731.0,0,
13042,c:240192,web,other,other,75020.5,3,1.0,,1.0,,,,,,False,False,False,1096.0,0,
13043,c:240209,mobile,USA,California,325000.0,2,3.5,,1.0,,,,,,False,False,False,,0,
13044,c:240212,health,USA,California,315666.6667,3,0.0,,2.0,,,,,,False,False,False,853.0,0,
13045,c:240216,ecommerce,other,other,330000.0,2,1.0,,1.0,,,,,,False,False,False,1096.0,0,
13046,c:240223,games_video,other,other,600000.0,1,1.0,1.0,1.0,,,,,2.0,False,False,False,1096.0,0,
13047,c:240228,,other,other,,1,1.0,,,,,,,,False,False,False,,0,
13048,c:240231,photo_video,other,other,485000.0,1,0.0,,,,,,,1.0,False,False,False,,0,
13049,c:240239,hardware,other,other,100000.0,2,1.0,,,,,,,,False,False,False,,0,
